RMSE,COMID,Name,Outlet,station_nm,Lat,Long,outlet_comid,type,Location
2.7724738933775566,81034272,pe_basin_0_0045,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.415186447137082,81034272,pe_basin_0_0046,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
3.4771260894563247,81034272,pe_basin_0_0047,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.577299082990631,81034272,pe_basin_0_0048,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
4.058291091314856,81034272,pe_basin_0_0049,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
4.698032207073487,81034272,pe_basin_0_0050,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
4.3714529635076556,81034272,pe_basin_0_0051,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.658837109146603,81034272,pe_basin_0_0052,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.2222665772713075,81034272,pe_basin_0_0053,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
1.9220982530214892,81034272,pe_basin_0_0054,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
2.951956805234826,81034272,pe_basin_0_0055,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
3.9435246540914175,81034272,pe_basin_0_0056,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
3.6509786596204696,81034272,pe_basin_0_0057,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
4.561617910518329,81034272,pe_basin_0_0058,81035794,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81035794,Opt,South
