,alpha,beta,mu,gamma,a_d,b_d,a_w,b_w
pe_basin_9_0000,15.557739075283978,9.290756296897756,2.8146377007204744,0.1700000000166582,1.838323766875248,0.48616488111013806,79.1751386495141,0.1755429551838062
pe_basin_9_0001,15.436087782124767,9.144560159904893,2.8637216814306456,0.17000000000000004,1.8626805166412672,0.4657969091505123,80.36338454703859,0.17141845123566887
pe_basin_9_0002,15.559325862475301,9.290708614636882,2.8144293999489594,0.17000000000000007,1.8383482296604121,0.4861291238249954,79.17617636333861,0.1755346748597449
pe_basin_9_0003,15.557578258871857,9.290657107838491,2.814479476307771,0.1700000000030852,1.8383014854008723,0.4861330582730502,79.17771997856312,0.17556777428432427
pe_basin_9_0004,15.558972562729448,9.290703410225158,2.814435169784162,0.17000000000000004,1.8383466847343306,0.4861287586460404,79.17618228444043,0.17553470816791417
pe_basin_9_0005,15.558406790112741,9.290776533490673,2.814662457618416,0.17000000000000115,1.8383263158647745,0.48614228293796086,79.17488753812201,0.17554727700193562
pe_basin_9_0006,15.559251123297688,9.290707848412865,2.8144345410301015,0.17000000000000004,1.8383463564664086,0.4861289963242519,79.17620763073909,0.17553536589494206
pe_basin_9_0007,15.559112747815195,9.290708806851269,2.814435091051856,0.17000000000000004,1.838346339791584,0.4861291927771019,79.17620842679398,0.17553515211938953
pe_basin_9_0008,15.559053382899737,9.290708843293267,2.8144269460180102,0.17000000000000004,1.8383456131150129,0.48612866172581615,79.17619317376192,0.17553526684796789
pe_basin_9_0009,15.55768833252931,9.290648703940908,2.8144800393076643,0.17000000000464835,1.83829976334772,0.48613461210027553,79.17760447241844,0.17556672788174782
pe_basin_9_0010,15.557606974237716,9.290654230870276,2.8144892057404505,0.17000000000314025,1.838300572196122,0.4861340734727779,79.17771955626576,0.17556790877604603
pe_basin_9_0011,15.55801566274095,9.290770360673028,2.8146713879914316,0.1700000000001446,1.8383268916488094,0.48614254283875724,79.17470177911191,0.17554715886868244
pe_basin_9_0012,15.557724073670675,9.290650030505883,2.8144813452148356,0.17000000000507354,1.8383010883148336,0.4861343015998696,79.1776869158307,0.175567181672215
pe_basin_9_0013,15.558349402776773,9.2907732947773,2.814675913535327,0.17000000000015397,1.838327571500468,0.48614265669780127,79.17461060624123,0.17554710064215018
pe_basin_9_0014,15.557604568578702,9.290655925075852,2.8144764193271685,0.17000000000298296,1.838301706041761,0.48613382810189165,79.17771622121047,0.17556750895188325
pe_basin_9_0015,15.55906152704243,9.290707967086286,2.814432848660297,0.17000000000000004,1.8383466907002117,0.486129800963366,79.17623814432947,0.17553481226610354
pe_basin_9_0016,15.557711611924978,9.290650588024489,2.814486990252985,0.17000000000497087,1.8383011872017387,0.4861320178413553,79.17771818203312,0.17556512055697276
pe_basin_9_0017,15.559083368606908,9.290705510589389,2.8144345622487896,0.17000000000000004,1.8383460785015828,0.4861300528710584,79.17618959627026,0.1755351192675018
pe_basin_9_0018,15.557870874489934,9.290768734876952,2.8146731160914107,0.17000000000015406,1.8383267956602678,0.48614253359567944,79.17471919979135,0.17554722669732714
pe_basin_9_0019,15.558035588351677,9.29077460842644,2.8146801859221537,0.17000000000014254,1.8383266902642128,0.4861424162041441,79.17465121162867,0.17554671256933013
