,alpha,beta,mu,gamma,a_d,b_d,a_w,b_w
pe_basin_2_0000,16.5399919970625,6.364337883134553,3.051744894162223,0.3638699380554611,2.42,0.64,194.50753244286085,0.5385586353582025
pe_basin_2_0001,16.54,6.36,3.1000000000000005,0.3775104704568895,2.1540388176678595,0.64,144.7304520485621,0.5257238378523162
pe_basin_2_0002,16.539996918670283,6.36434684675481,3.0542781837354984,0.36436487767249515,2.416051778148015,0.6360756362932628,194.84162390851748,0.5384981920389279
pe_basin_2_0003,16.53999175989634,6.364612162385549,3.05172757915527,0.3639320772589681,2.4197316386599423,0.6399753226746838,194.46371076962828,0.5385634950331118
pe_basin_2_0004,16.5399970868349,6.364345706343146,3.0541211606646437,0.3643669203371191,2.4159460369185837,0.6359157933310129,194.8419381102186,0.5384959273356691
pe_basin_2_0005,16.539997098161017,6.364521246604871,3.0536328025038255,0.3643592148696671,2.416466730287976,0.6361575682884724,194.84386236748875,0.5385040240261634
pe_basin_2_0006,16.53999712704369,6.364366439970409,3.0539120671760607,0.3643626139268345,2.4161525185631456,0.6361776492892829,194.82329059661205,0.5385000458732029
pe_basin_2_0007,16.539997148674097,6.364353484331039,3.053772926412997,0.36433029497196034,2.416206482766493,0.6359643921722247,194.82304922125863,0.5385004924976282
pe_basin_2_0008,16.539997151163558,6.364346881302436,3.053924152615638,0.36435931645641606,2.416110680920292,0.6358832650835641,194.83185776723028,0.5384999106199131
pe_basin_2_0009,16.539997296473132,6.364355817665942,3.053749064265059,0.36436388449189544,2.41613496992489,0.6360353205347848,194.81669438199,0.5385000206753104
pe_basin_2_0010,16.53999174860967,6.364557790406354,3.051808959028049,0.3639087691436155,2.41975645078282,0.6398300923522426,194.48780998485768,0.5385504238980782
pe_basin_2_0011,16.539997126165503,6.364653966142355,3.053797088097239,0.3643916554103881,2.4161463108150696,0.635800230515073,194.8404443695854,0.5385002829246485
pe_basin_2_0012,16.539996931903225,6.364347490683998,3.05381828512484,0.36432316927915254,2.416253009067224,0.6359173953179564,194.82082140886465,0.538500588153064
pe_basin_2_0013,16.539997020800342,6.3643458924912375,3.0537807097819964,0.36436255905762394,2.4161118221925983,0.6358728530512321,194.82943769500667,0.5384999665365934
pe_basin_2_0014,16.539997395684818,6.364628370840521,3.0536356018552393,0.3643559637069807,2.4162519995842424,0.6360755163798663,194.8154031228659,0.5385043183784787
pe_basin_2_0015,16.539997074041082,6.364651046533903,3.0537973421896036,0.36439271206527934,2.4161417564851244,0.6360298450564007,194.82923030408546,0.5384960073267558
pe_basin_2_0016,16.53999712568694,6.364348528871287,3.0538175754876367,0.36431847972558523,2.416238930534156,0.6359293131869216,194.82637089059648,0.5384981105144413
pe_basin_2_0017,16.539997227691824,6.364518585208224,3.053620668957961,0.3643612057239259,2.4165020373984043,0.6360714954466667,194.82470394957468,0.5385044719609556
pe_basin_2_0018,16.539996868974114,6.364743249445596,3.053650295064204,0.3642822904306168,2.4164594131607244,0.6363952238900348,194.84199926544846,0.5384923166994617
pe_basin_2_0019,16.539997371355835,6.364355358633279,3.0536853087859677,0.3643767200338674,2.416554720662427,0.6364381111587585,194.83440332732454,0.538496060320543
