,alpha,beta,mu,gamma,a_d,b_d,a_w,b_w
pe_basin_2_0000,16.539650587748856,6.36,-0.23,0.17091270493844837,0.4325748958103067,0.30326978872861243,359.9245503523392,0.3853508958945018
pe_basin_2_0001,16.54,6.36,-0.23,0.17000000000000004,0.131483254075449,0.33617229412990807,376.1128215501207,0.4565561309732488
pe_basin_2_0002,16.539852296307394,6.360000832193083,-0.23,0.17088379104183674,0.4097924055093397,0.304602176744554,360.3815126788184,0.38749259922501206
pe_basin_2_0003,16.539521928409243,6.376795981605277,-0.23,0.17047481709431794,0.310976721795859,0.2922369105806452,336.2646801147136,0.4198422315932113
pe_basin_2_0004,16.53996557883162,6.3600008137458905,-0.23,0.17088264574071474,0.4108472308894905,0.3045551789401501,360.366102122621,0.3874265134346308
pe_basin_2_0005,16.54,6.377163192742295,-0.23,0.1704747974795489,0.3124540904451978,0.29288959815664495,335.93963711473043,0.41829932335473324
pe_basin_2_0006,16.539925204397942,6.36000054039482,-0.22999629395013516,0.1708627112731793,0.4181982928230476,0.3058825077689992,360.9071745521933,0.3850762198251946
pe_basin_2_0007,16.53995444772167,6.36,-0.23,0.17002184261471143,0.3730004474268737,0.3130059313822813,337.560823790447,0.38441432472556375
pe_basin_2_0008,16.54,6.36,-0.23,0.1708781185789247,0.42889774673445735,0.30421359008018517,360.125235694642,0.3850472802313577
pe_basin_2_0009,16.531146059540863,6.36,-0.22999964675480247,0.17089062184541723,0.41495087118374924,0.3044345733409697,360.40293942984647,0.3852396604537752
pe_basin_2_0010,16.54,6.360000532866238,-0.22999626653582622,0.17086151473382294,0.4182958406066288,0.3058195083813455,360.89847862650595,0.38507617767674
pe_basin_2_0011,16.539926510607312,6.360036186113301,-0.23,0.17069641761593574,0.4299754755451561,0.3028149735491158,360.0194814431654,0.38505279125961883
pe_basin_2_0012,16.54,6.3600001365523875,-0.22992071855331445,0.170900096807732,0.42312289970699657,0.3059573322213511,359.9255601986786,0.3876164760109371
pe_basin_2_0013,16.54,6.36,-0.23,0.17087273458790112,0.4298286538387521,0.30363682598874925,359.9626069588346,0.3850394777672448
pe_basin_2_0014,16.54,6.36,-0.22999998525661608,0.17087863610524817,0.42326165025052176,0.3085168401007796,360.3230428166531,0.38595702712930985
pe_basin_2_0015,16.537579751433416,6.36,-0.22999998950769523,0.1708894188224592,0.43043375098680003,0.30308967066535547,361.10230813498913,0.3852568600398111
pe_basin_2_0016,16.355601512031473,6.360018209354296,-0.23,0.17021790803920436,0.2913305321406881,0.314276234636933,353.14334395569483,0.390648561929151
pe_basin_2_0017,16.54,6.360000842865108,-0.23,0.17089431612809372,0.40993633718063505,0.3042631059701539,360.53110025562773,0.38741051470196863
pe_basin_2_0018,16.54,6.360000000335271,-0.22999999094720136,0.17090620705001427,0.422372870762812,0.306204034100438,360.29225364969614,0.38552860341682865
pe_basin_2_0019,16.539983602312994,6.36,-0.23,0.17086362432639746,0.43104506755732297,0.30372543806261415,359.9002285282468,0.38464755563257874
