,alpha,beta,mu,gamma,a_d,b_d,a_w,b_w
pe_basin_2_0000,10.708502958415977,6.360000000000002,0.6802725409174206,0.42750712425822945,0.6487461074118196,0.30963792026902426,113.32601520806371,0.27667944528039656
pe_basin_2_0001,10.5877664385026,6.36,0.6717913919377101,0.42714440726694214,0.649182802871281,0.315546650616597,114.45042595845001,0.2772235702500196
pe_basin_2_0002,10.685320816692407,6.36,0.5481811090560258,0.4249175279350239,0.6531683044637662,0.2886798740877592,114.05973449976165,0.25168560828813313
pe_basin_2_0003,10.684618598567514,6.36,0.5484414459513226,0.42480647766422724,0.6546196861025368,0.2877770811627809,114.19674518406504,0.2515461547617081
pe_basin_2_0004,10.709271119683342,6.360000000000002,0.6771572878433768,0.42669064378876814,0.6514148740651862,0.3103138141745193,113.2950930592347,0.27754912637711115
pe_basin_2_0005,10.707669020899656,6.360000000000001,0.6698338497298959,0.4273420771898975,0.6486800623237543,0.3112445349175521,113.32356407238795,0.27735991579669006
pe_basin_2_0006,10.700791469677666,6.36,0.5797317527051756,0.41721793694826553,0.5716348956083964,0.28970331871391763,111.91451845807329,0.2698360874143599
pe_basin_2_0007,10.6995963084907,6.36,0.5643746648752518,0.4154402265149617,0.5770457926731272,0.2916069371352149,111.73220795328871,0.26849871555749244
pe_basin_2_0008,10.701459040980383,6.36,0.5806467102654443,0.41684459305292154,0.5705187059842294,0.2891914805141926,111.9830964104238,0.270518808223905
pe_basin_2_0009,10.68420131455424,6.36,0.5526525964237259,0.42468377396359513,0.6549247410270082,0.2862329090543,114.43661065801136,0.25121260217602487
pe_basin_2_0010,10.708531379053662,6.360000000000003,0.6709070003082925,0.42683891294412546,0.6468690242600783,0.3119474745104362,113.31393369984684,0.2758298851285849
pe_basin_2_0011,10.685061037231401,6.36,0.5497109130459089,0.4249800082958496,0.653208938201411,0.2871760653095098,114.07072843262425,0.25151626754120276
pe_basin_2_0012,10.708146689411164,6.360000000000002,0.6697409783391143,0.427385465839286,0.6486682499665086,0.311345781239945,113.3206314075058,0.2772160444030424
pe_basin_2_0013,10.69965971935835,6.36,0.5632909053059735,0.41542626388053383,0.5749990531712229,0.29120951662013433,111.84096655953634,0.269130200850029
pe_basin_2_0014,10.684674735019673,6.360000000000001,0.5483805837649759,0.4247906889665289,0.6533009600274832,0.2877460846461812,114.06141097105524,0.2511237348634784
pe_basin_2_0015,10.69992549957464,6.36,0.565254232500193,0.41578378937719457,0.5751245859653855,0.28997219959224685,111.74585582644217,0.2698135577064994
pe_basin_2_0016,10.699128536115333,6.36,0.5646832419811293,0.41600300180232264,0.5722053253899044,0.2915164478182371,111.9359940491574,0.26902352527274187
pe_basin_2_0017,10.683713847147013,6.36,0.5477614133626755,0.4251225790675153,0.6607345208974068,0.28564500252293135,114.11128965397451,0.25124057585999365
pe_basin_2_0018,10.699697538418242,6.36,0.5654570832037568,0.41577941338533386,0.5737356440297887,0.29001447187924,111.86634713300761,0.26898428133068364
pe_basin_2_0019,10.685532413562433,6.36,0.5497023947083826,0.4250742132917843,0.6549211626299835,0.28701587117040883,113.99901353548194,0.2511369621080734
