,alpha,beta,mu,gamma,a_d,b_d,a_w,b_w
pe_basin_4_0000,15.722391751794902,8.932127963163653,3.0065039884507727,0.1700038459028605,0.4581114280625244,0.6365267056637391,189.33362041820865,0.49135197117969176
pe_basin_4_0001,15.312782978726,8.676598939937925,3.096774252961523,0.17082684479007915,0.5050308519028447,0.603802827961046,184.9432764306302,0.48345239535686957
pe_basin_4_0002,15.714009406132329,8.90708290592066,3.0349932236363837,0.1700514571575612,0.5017938210465067,0.6351986804345168,189.5852993295659,0.490725696551815
pe_basin_4_0003,15.6694210801979,8.657294073234034,3.0977007238306684,0.17002404908832994,0.40976891878386323,0.6153739867854798,169.58270195837605,0.48063649041221135
pe_basin_4_0004,15.694085479950083,8.975794619970513,3.0759707317395817,0.17000000000000004,0.2505793318824179,0.6398558071980479,195.45324950555658,0.4561127641229628
pe_basin_4_0005,15.303186303440523,8.645232444799904,3.091497301119766,0.1707946569782497,0.5035076295740637,0.5982018523915119,185.5612857100701,0.4825753321434152
pe_basin_4_0006,15.673360927656574,8.66648798519986,3.096282991565055,0.1700373600820386,0.41219434594182425,0.6155681268784441,169.64236976941774,0.4807497071259537
pe_basin_4_0007,15.66942101095057,8.654602067229542,3.1000000000000005,0.17002398677986147,0.4083356697540394,0.615569202619347,170.30826919261813,0.4806726758502742
pe_basin_4_0008,15.284830755204275,8.642133888749202,3.089302296556744,0.17092262523690493,0.5045304026077555,0.6010895518770821,185.36107087888107,0.48323444535608023
pe_basin_4_0009,15.302587825393196,8.655370041350409,3.0959700807251394,0.17078747841629016,0.5048859614419647,0.5998033097792376,185.26166073077528,0.48346362662672016
pe_basin_4_0010,15.302969642625296,8.656974666711754,3.0958944089717226,0.17082673537872334,0.49988120235107414,0.6007911635927917,185.250377129507,0.4835321769223112
pe_basin_4_0011,15.307368834975835,8.624158784552948,3.0952919128475407,0.17081213177024301,0.5040422003259537,0.600341551118968,185.31270889545922,0.48336898317244414
pe_basin_4_0012,15.676917961290071,8.657178269279687,3.09655145044116,0.1700306559945781,0.4115586313435218,0.6155658517296031,169.4097951769568,0.4806840270766711
pe_basin_4_0013,15.327658731212347,8.630389124808845,3.0966210157581258,0.17084239976628846,0.5140819532519406,0.600311356649507,185.14649985009135,0.48102874913117494
pe_basin_4_0014,15.325553375662635,8.646275501728306,3.1000000000000005,0.17080419265592503,0.5045590943255063,0.5974751087035974,185.8519447039167,0.4829393124342493
pe_basin_4_0015,15.703339888168474,8.656604196587603,3.096443269205443,0.17000423874347692,0.40685368751064105,0.618446960916796,169.4935821161412,0.48042542550836487
pe_basin_4_0016,15.304041260884546,8.655520895732081,3.096144489507127,0.17078764476536748,0.5048983191041385,0.5998041678751309,185.26573412303213,0.4834604547877783
pe_basin_4_0017,15.66803122746626,8.654795543415384,3.0930667833845864,0.170020486414491,0.41734459143612734,0.6142237508427296,168.4638303753976,0.47939379604838356
pe_basin_4_0018,15.714699586345782,8.922231872525295,3.003791225751789,0.17000000000000004,0.46349139390154326,0.6357903029403156,189.28319528176345,0.4912394014533314
pe_basin_4_0019,15.743244982673888,8.935630615736073,3.0318267916641846,0.17011207719157054,0.4898091881834624,0.6351049921110017,189.67285632518437,0.4906592246010529
