,alpha,beta,mu,gamma,a_d,b_d,a_w,b_w
pe_basin_3_0000,15.268394968215778,6.36,1.159191324236872,0.3630014961608771,1.444397178531267,0.18790299527844778,67.96874411490201,0.3620663810454945
pe_basin_3_0001,15.232731415931744,6.36,1.0713810668693107,0.3600930511006584,1.4130058139447386,0.19038922048687065,65.1017256004309,0.356664637845104
pe_basin_3_0002,15.514008640202745,6.488187520491113,1.1688601500026576,0.34595158581161967,1.3899481661531736,0.1573231018626135,72.89755767445028,0.3542135655922178
pe_basin_3_0003,15.506876891083751,6.488406350104431,1.1684602313816546,0.3445779947711525,1.3900786612891276,0.15676890649987804,72.86752495192917,0.35417252716444164
pe_basin_3_0004,15.510530943504552,6.496758433858079,1.1745626137192802,0.3459279514906212,1.3884371544297895,0.15068249479591866,73.88027062116608,0.35297796428098444
pe_basin_3_0005,15.505738038053478,6.488670231468309,1.1683238101324738,0.3444955390818002,1.3900871687034575,0.15678726200107573,72.87823188656851,0.3541824051038623
pe_basin_3_0006,15.511679131547066,6.4935966297838705,1.168311029049112,0.34466120675263645,1.3900072429787995,0.15486472555017622,72.92566036430547,0.3542642840488406
pe_basin_3_0007,15.530344297283998,6.498892972903982,1.1726910582117578,0.34450554879316675,1.3999279476384285,0.1541035005627963,72.57540828903963,0.3524759717583958
pe_basin_3_0008,15.521435551181247,6.500432986564225,1.1746218942177113,0.34589551662064877,1.3891615853174133,0.1508179196569324,73.89606687831956,0.3531628000895485
pe_basin_3_0009,15.243202609630467,6.385974696467158,1.1571351385560016,0.35958163925996334,1.4402628203451713,0.1846380701120789,67.32096928728677,0.3613532638877325
pe_basin_3_0010,15.255739006133314,6.36,1.1583255632682754,0.3617279548845066,1.444686657179154,0.18665431770384533,68.10020367709183,0.3619029369892657
pe_basin_3_0011,15.514344714946544,6.507334335137853,1.1732559439568842,0.3459565800249386,1.391143809862318,0.1513505356774896,73.96372415584504,0.35284045183600077
pe_basin_3_0012,15.505684608921104,6.488242216094943,1.1684909005824122,0.34441118725249203,1.390043772129569,0.15674404912451054,72.86496429341574,0.3541729845248349
pe_basin_3_0013,15.546721714115746,6.503104668792526,1.17270703425324,0.3451618913244501,1.4007789835867857,0.15482506652669495,72.40333921862862,0.3525905397914698
pe_basin_3_0014,15.5058015399139,6.48844197520899,1.1684663465527272,0.3444609442204945,1.3901337408231633,0.15675442060738587,72.87682467320865,0.35417616704217886
pe_basin_3_0015,15.258526063213887,6.367096170041719,1.158621336972872,0.35959971949793273,1.4390035631605604,0.18938631504788098,67.63718042698325,0.3618272918315194
pe_basin_3_0016,15.534949376400121,6.501991533085215,1.17066023338066,0.3462302893739556,1.3877194509789152,0.1557478068910365,71.8314668514864,0.35313720063703885
pe_basin_3_0017,15.278052735622873,6.360796050866915,1.1572134584522393,0.36201029883729435,1.4436677879641537,0.18931769520839856,67.87090662563222,0.36245529096240825
pe_basin_3_0018,15.251673694618717,6.3605118217794345,1.1594486172930996,0.35885458753775684,1.4406798201116984,0.18822533615219655,67.99695771635962,0.3617692114524591
pe_basin_3_0019,15.251504038893824,6.360612677980864,1.159764935875089,0.35886332990681324,1.4408292364990711,0.18822651076550773,68.01310320961636,0.3617627480320109
