,alpha,beta,mu,gamma,a_d,b_d,a_w,b_w
pe_basin_3_0000,11.713321841151977,8.629435504200803,3.08910519802497,0.36520731905814646,0.628030528678186,0.3707392284265723,126.8769706354937,0.16438145659836698
pe_basin_3_0001,11.717724679677376,8.731299019656563,3.03599543502383,0.34635472586723903,0.5670600650858838,0.35706993029393475,109.96897778781053,0.08353011157250545
pe_basin_3_0002,11.982849543631092,8.837393591875749,2.972677783911985,0.3645845736318647,0.6442847452572182,0.36343576384118886,120.68511268323651,0.15200181559528217
pe_basin_3_0003,11.624350527563134,8.74390303855523,3.048373884231333,0.3541990669340013,0.6615094751810509,0.3885362834503964,117.15545856490151,0.14304420394367937
pe_basin_3_0004,11.624395736027399,8.74392231044496,3.0483843413542755,0.35420214880744055,0.6615335113714849,0.38872443148660074,117.15983392515358,0.14303305561695248
pe_basin_3_0005,11.716144095362095,8.63462046866212,3.087319293358966,0.3649609023288905,0.6288657417944679,0.3709486614473534,126.90853976276506,0.16161683478970554
pe_basin_3_0006,11.618678563873845,8.747979966735867,3.042180856162843,0.3550817513630342,0.6654378695507428,0.3925382358593573,116.56640751115333,0.14244037372363075
pe_basin_3_0007,11.621692702499224,8.74889401173454,3.039715697715235,0.35453644168241655,0.6627632257149754,0.39278279878597616,116.22668878545855,0.14266693971733144
pe_basin_3_0008,11.619223697707826,8.748585435134052,3.0426552848451656,0.35416405588456146,0.6606567037189621,0.3889152255639878,116.41183682010292,0.14226075990493098
pe_basin_3_0009,11.620396048631454,8.751579212952473,3.0465195326671837,0.3545825590072888,0.6638994416219949,0.39153745170857474,116.56113161787071,0.14133990851232361
pe_basin_3_0010,11.626360448857222,8.74571247009627,3.0429892958513736,0.3543073999986981,0.6654543473671858,0.39191497998027147,116.35273552591828,0.1422432351748247
pe_basin_3_0011,11.613329895015255,8.747313132909477,3.0411303386622395,0.354071137244207,0.6617465912081121,0.3875352855068629,116.30172318989385,0.14278320720514648
pe_basin_3_0012,11.7141243009056,8.625521619771767,3.08844167760846,0.3655254239569372,0.6285437062268194,0.37069237609478356,126.83792904822936,0.16428088736170346
pe_basin_3_0013,11.620960122654523,8.74781111433464,3.0488840411973483,0.35428680232855536,0.660769754842354,0.3894163552124005,116.94161166338569,0.1429985312740204
pe_basin_3_0014,11.619781649650228,8.743464584001682,3.0454766744586133,0.35283926692919465,0.6650508040832274,0.3917433604048214,116.50351565184445,0.1424232784081332
pe_basin_3_0015,11.61846170690237,8.750628004666503,3.0424409885516237,0.3539879624384231,0.66029289761217,0.38827567677006924,116.4710198106478,0.14284687618623593
pe_basin_3_0016,11.620302920658224,8.74725266482674,3.043973920043865,0.3540569327624918,0.6593198147244547,0.3879305859009787,116.79747288048154,0.14472683117961513
pe_basin_3_0017,11.620557535570171,8.752203807473453,3.046239600743776,0.35446128116072895,0.6656181144354777,0.39510921915978464,116.60401974125477,0.14186747168417088
pe_basin_3_0018,11.713289490404387,8.629442306600442,3.0909602311024194,0.3648092407484935,0.6288016057877238,0.37088971781514807,126.79944606662536,0.1637858484936581
pe_basin_3_0019,11.721202536808015,8.629551170707376,3.092065158403701,0.3652692454936112,0.6268289840562715,0.3711644648799541,126.35880356557891,0.16441196101865863
