,alpha,beta,mu,gamma,a_d,b_d,a_w,b_w
pe_basin_1_0000,16.539999999999996,6.360000000060829,0.15459009740099888,0.31330014689333174,0.4135614646786511,0.37536155099143925,383.1882867436922,0.20776029325677636
pe_basin_1_0001,16.54,6.36,0.15271128269763126,0.33673643165696787,0.40459315198720425,0.3798551257136167,365.9569424655927,0.21845902132653874
pe_basin_1_0002,16.539999999999996,6.41695313092753,-0.05388253096317455,0.3245290690220449,0.30174046754720857,0.33197242008377836,383.5,0.21529114066269545
pe_basin_1_0003,16.54,6.36,0.1904539781275396,0.3105576646744833,0.4106486886673627,0.3976048905552712,383.5,0.25633397369032584
pe_basin_1_0004,16.54,6.36,0.15866195398683308,0.3353924287114902,0.43042571527221823,0.39629173445238686,383.5,0.20511212662508757
pe_basin_1_0005,16.54,6.392021747408246,-0.06513769121817818,0.3187920594939664,0.29305944837925413,0.31378013744077043,380.6429574886612,0.22048946045173978
pe_basin_1_0006,16.54,6.416213222963478,-0.05912694860497361,0.32467793374866866,0.296482676351347,0.3326843437462874,383.5,0.21469339191986056
pe_basin_1_0007,16.539999999999996,6.415352792284589,-0.06564714718965071,0.324182915235092,0.29933693997816946,0.33096945322596166,383.49125258248415,0.21434970772497153
pe_basin_1_0008,16.539999999999996,6.41659516828118,-0.05986935883275777,0.32433461519036993,0.29269507383768195,0.33148885833685765,383.499173323057,0.2152214193887255
pe_basin_1_0009,16.54,6.4170204281258165,-0.059496886531619525,0.3249638416243207,0.2976238198197326,0.3329215464688449,383.5,0.21465145711055275
pe_basin_1_0010,16.54,6.416698364341835,-0.06710445233658434,0.32486902410383256,0.2935997935671476,0.332247540482448,383.5,0.21457139877290343
pe_basin_1_0011,16.539999999999996,6.417810645654623,-0.0662709770612808,0.324666296794271,0.3009904659628456,0.3289521825150021,383.4927563266521,0.21448420710386196
pe_basin_1_0012,16.539999999999996,6.417597158638156,-0.06209477702138441,0.32478297615683616,0.2969304132172701,0.3314962494635417,383.5,0.214533163655902
pe_basin_1_0013,16.539999999999996,6.360002197901208,0.14107222277794315,0.3132224170379679,0.395849903520598,0.37420474528284137,383.2224573574846,0.20775287413712856
pe_basin_1_0014,16.539999999999996,6.360482175671514,0.14624186344139098,0.313471145158433,0.4130132610238478,0.37564362161578135,383.18089382262815,0.2079548400251575
pe_basin_1_0015,16.539999999999996,6.41770493312559,-0.07042131100571333,0.3247065283711136,0.29813572899498036,0.3316710476795349,383.5,0.2145911225731322
pe_basin_1_0016,16.54,6.416693667578738,-0.0793014625503743,0.32491415784374494,0.29205105860259406,0.331538826208379,383.49115310682527,0.21459204939519724
pe_basin_1_0017,16.539999999999996,6.36,0.15674064559923628,0.31311597715051687,0.41206080350975655,0.37334146818953967,383.21211517142615,0.20754429416296913
pe_basin_1_0018,16.539999999999996,6.36,0.15076100947349666,0.3133417823786416,0.39836185247156,0.3738530963142258,383.2006212131167,0.20812392807445276
pe_basin_1_0019,16.54,6.41806411029542,-0.06850504073384375,0.32496769379768686,0.2967800855128303,0.33299271107804396,383.4916287877932,0.21428438491675353
