,alpha,beta,mu,gamma,a_d,b_d,a_w,b_w
pe_basin_1_0000,16.539994526327117,8.457944388162575,3.0999993661528835,0.170000000057886,2.419610803345151,0.26521310276012305,272.2487987526678,0.5386413464506287
pe_basin_1_0001,16.49791702441226,8.110588890744568,2.8982567241121293,0.17000000000000004,2.419974101731632,0.22756981370542192,312.308269802184,0.5163299776070343
pe_basin_1_0002,16.53999455220311,8.457966535999592,3.099999249143284,0.1700000000581116,2.4196105574097926,0.26519584198650686,272.26490009884606,0.5386412957644718
pe_basin_1_0003,16.539994552252985,8.457966556719636,3.0999992728772665,0.17000000005811186,2.4196106694047765,0.26519602227481887,272.26394960843976,0.5386413086793972
pe_basin_1_0004,16.539994550324522,8.458003605126999,3.099999230719747,0.1700000000579363,2.419610505619702,0.26520251856027804,272.26167945009587,0.5386413325415966
pe_basin_1_0005,16.539994558124544,8.457943391705292,3.0999993552752776,0.17000000005785895,2.419610294396164,0.2652003034487901,272.25550460226526,0.5386413438098795
pe_basin_1_0006,16.539994511496225,8.457933004369705,3.0999993413910416,0.1700000000577781,2.4196103770166344,0.2652030871348531,272.2558354454998,0.5386412842843666
pe_basin_1_0007,16.539994862188,8.458038235087775,3.1000000000000005,0.1700000000572075,2.4196038757921965,0.26519009817136663,272.2319838086209,0.538641118893102
pe_basin_1_0008,16.539994587371428,8.457924764344629,3.1000000000000005,0.17000000005786897,2.4196105305393143,0.26520791770292407,272.2578852051007,0.5386414070868656
pe_basin_1_0009,16.54,8.4571161341079,3.1000000000000005,0.17000000006024257,2.4196176049821063,0.2653468579128222,272.4090537487889,0.5386429289926575
pe_basin_1_0010,16.53999451979202,8.457941693701265,3.1000000000000005,0.17000000005797397,2.419610434919398,0.2652132595939121,272.25747442786985,0.5386415635364014
pe_basin_1_0011,16.539994505523843,8.457926993926236,3.1000000000000005,0.17000000005801866,2.419610275250339,0.2652155205302179,272.2551173300238,0.5386414481477012
pe_basin_1_0012,16.53999456427617,8.457945226393457,3.099999366730669,0.17000000005785923,2.4196099244465428,0.26519785270029456,272.2577366268305,0.538641468601682
pe_basin_1_0013,16.539994741202413,8.457922727522558,3.1000000000000005,0.1700000000579435,2.419610702273548,0.2652068884398482,272.2505607865877,0.5386414678995808
pe_basin_1_0014,16.539994518542354,8.457941700925254,3.0999999999999996,0.17000000005796126,2.419610897186607,0.26521328645306586,272.25840109928134,0.5386416693137008
pe_basin_1_0015,16.539994551723574,8.457966632899678,3.099999231552639,0.1700000000581116,2.4196105190429886,0.2651960517971507,272.26509100170085,0.538641367433861
pe_basin_1_0016,16.53999449729602,8.457943285923056,3.099999998795575,0.1700000000579011,2.4196103424775526,0.2652141734402935,272.2548562280234,0.5386414581909904
pe_basin_1_0017,16.539994477199112,8.45794122672559,3.099999980567219,0.1700000000581,2.41962715636059,0.2652031294970389,272.25199648645525,0.5386440257161088
pe_basin_1_0018,16.539994470248132,8.457944917700544,3.0999999968014675,0.17000000005814725,2.4196250439459637,0.2652034244847383,272.2535056199906,0.5386440577355798
pe_basin_1_0019,16.53999456345015,8.45793009792135,3.1000000000000005,0.17000000005788893,2.419610428407633,0.2652142266048292,272.254434579868,0.538641405560616
