,alpha,beta,mu,gamma,a_d,b_d,a_w,b_w
pe_basin_8_0000,15.262736808670468,8.808239859792776,2.944473590286601,0.23728493405878967,1.9222224049357632,0.22584417824974734,179.2177722708806,0.4043384134493057
pe_basin_8_0001,15.099894504851564,8.830269291471021,2.97633369056418,0.22215120410273423,1.874226280863879,0.22274900396476827,175.33477308028318,0.4146202654344994
pe_basin_8_0002,14.996705240740049,8.872758700688856,3.071764581434203,0.22539438300792447,1.8192204650676016,0.19702669391673885,187.7978548743113,0.42807465255236693
pe_basin_8_0003,14.999611289757054,8.872586888598821,3.071769123616564,0.2253458645074867,1.8171223619540888,0.19507294520188084,187.7136775521457,0.4281708241909342
pe_basin_8_0004,15.139953123509743,8.938741143424357,3.045287814444066,0.21659266420775813,1.8663646003648455,0.25873428192574577,170.9903585743561,0.43343915010198436
pe_basin_8_0005,15.109172900869792,8.75141626931724,3.0734720274671306,0.22893915632213596,1.920747396378257,0.23175284372349805,185.8426193268293,0.41845923220046716
pe_basin_8_0006,15.109164760771252,8.751119716321586,3.0734717230101376,0.22893947259660882,1.9208882949484998,0.2317303556498495,185.8447785900537,0.4184593914412216
pe_basin_8_0007,15.112945436993407,8.734190236594733,3.065970499392236,0.22879143811352196,1.9263471650738198,0.2320181433039475,185.6635061626001,0.41816147438756246
pe_basin_8_0008,15.141587069071663,8.935585555611242,3.0452875672659627,0.21509032312579954,1.8585008369619518,0.2594647459093054,170.98086541447506,0.43355835729817555
pe_basin_8_0009,15.109916853862833,8.743105610269067,3.074633554598185,0.22876377981686416,1.9280022056100687,0.2313864207745525,186.1846866545247,0.41621119243627946
pe_basin_8_0010,15.141336443617467,8.937593267515727,3.046859700282779,0.21518610578613737,1.8619771554413271,0.2593640653923071,171.30431362576405,0.4340148606673315
pe_basin_8_0011,15.268680902085773,8.821179596221114,2.935715951077022,0.23727998431737174,1.9217876231493616,0.22632777809310653,179.42070878605733,0.4051422135091042
pe_basin_8_0012,15.269332523939001,8.816573940655017,2.9239636955440123,0.23732191127465863,1.9224662338327771,0.22659052423297152,178.47356508328477,0.40401055422372323
pe_basin_8_0013,15.259054381354433,8.818540333799293,2.9259474099886793,0.23734777382129513,1.9187683857165376,0.2276270702738462,179.92683735080556,0.40340667941174113
pe_basin_8_0014,15.15009406348043,8.971256998858726,3.034874007661298,0.217100564182427,1.8710525088143666,0.26128672143311876,171.1396053519997,0.4402859167411668
pe_basin_8_0015,15.269190444234495,8.818621702223952,2.936753953170063,0.23741528607643453,1.9216904213174288,0.226543961241785,179.67121199896445,0.40538223342818314
pe_basin_8_0016,15.268818172861776,8.817783447246347,2.9359755580954223,0.23684356883208738,1.9224188888476739,0.22633877679830322,179.12967842432715,0.4048903624610227
pe_basin_8_0017,15.269824297976472,8.809961157554337,2.941609918219398,0.2368899435521613,1.9226341332085952,0.22865815959235847,179.6296436821517,0.4054090200721294
pe_basin_8_0018,15.1417717769334,8.933507304827248,3.045347151849876,0.21476245412388673,1.856155795300666,0.25881018202886724,171.3935434292981,0.4340027586014313
pe_basin_8_0019,15.108540368392589,8.737557899313614,3.0727852444400043,0.22920206985850414,1.9285100291362438,0.23525205697949808,185.58967451241952,0.4223356247045899
