,alpha,beta,mu,gamma,a_d,b_d,a_w,b_w
pe_basin_2_0000,16.539947031122622,6.360023494564383,3.1000000000000005,0.17000000000000004,0.42441882405028086,0.6396010520535782,239.46104742356601,0.3574545053073159
pe_basin_2_0001,16.54,6.370989931801257,2.9793506729972963,0.17000000000000004,0.5294919128064345,0.64,238.35537954959486,0.40102988506175485
pe_basin_2_0002,16.54,6.36,3.010203092706644,0.17302301643940296,0.5943509711914737,0.5938730558985509,155.00410127226456,0.3564547872551494
pe_basin_2_0003,16.539982816671777,6.36,3.0999999999999712,0.17000254166438045,0.2839355677004877,0.6319000623858497,221.04512803159452,0.37903889900771404
pe_basin_2_0004,16.539999999999996,6.36,3.1000000000000005,0.1700000705897084,0.2805502212816428,0.6318478146669314,221.34828620561163,0.37880355014912354
pe_basin_2_0005,16.54,6.360000013878994,3.09999976392097,0.17000000031961074,0.2879735654866145,0.6319288219934909,222.65388312722473,0.37738779620810053
pe_basin_2_0006,16.539999999930146,6.360000829624637,3.0999999880221414,0.17000000000000004,0.28858107039583397,0.6314855541368055,223.6803276780872,0.380653931141227
pe_basin_2_0007,16.54,6.36,3.0999999919774175,0.170000070688606,0.2788819927532896,0.6319635095981713,220.87737179584306,0.37880802813776276
pe_basin_2_0008,16.539999999999996,6.36,3.1000000000000005,0.1700000003332365,0.28847897513618287,0.6319115073896835,222.48119954006688,0.37841564465987704
pe_basin_2_0009,16.53608289799888,6.36,3.1000000000000005,0.17010838762173208,0.4433362125827504,0.6394804165519133,239.2747197722134,0.3570175393311117
pe_basin_2_0010,16.539999998096764,6.360022912382369,3.1000000000000005,0.17000009589580217,0.42871657231819593,0.6397019537381264,239.22437831653912,0.35687273403701114
pe_basin_2_0011,16.539995337545577,6.360001279029031,3.1000000000000005,0.17000197052873253,0.2756599105502271,0.6313363804895729,220.59781082236776,0.37864317899814487
pe_basin_2_0012,16.538826087631858,6.360000101990195,3.0999996289558442,0.17001452113269636,0.43404845049027513,0.6395028682830556,238.52947274979306,0.35659752142776724
pe_basin_2_0013,16.539999999926334,6.36,3.1000000000000005,0.17000000000000004,0.28169938889456353,0.6316085144480268,223.2145232655959,0.37860722509976286
pe_basin_2_0014,16.54,6.36,3.1000000000000005,0.17000000000000004,0.28185820433502695,0.6318520846224553,222.1400151804859,0.37750138964987723
pe_basin_2_0015,16.539999999955484,6.360024245243479,3.099990588555959,0.17000000000000004,0.4304322202697939,0.6396236044365863,239.02165352162214,0.3567390085154658
pe_basin_2_0016,16.477256420906148,6.3600007559680565,3.0969391545374547,0.1704152871489567,0.6283267254452243,0.639971588289965,251.78493088624577,0.366062150194084
pe_basin_2_0017,16.535937788361228,6.36,3.0999999939139364,0.17011959982104052,0.44367662370372896,0.6394841586677771,239.15797457901843,0.35655407238096665
pe_basin_2_0018,16.539995428785723,6.36,3.1000000000000005,0.17000196777703988,0.27958620424094766,0.631498247670249,221.35429400782994,0.37727198286328384
pe_basin_2_0019,16.53872341682769,6.360001353519988,3.1000000000000005,0.17001346502158823,0.4339121894175043,0.639500604021799,238.62401000862263,0.3565419182408956
