,alpha,beta,mu,gamma,a_d,b_d,a_w,b_w
pe_basin_7_0000,15.734954627114956,7.4662946736463836,1.276159225296821,0.17000000000000004,2.0764846983928713,0.6252469403633264,143.70680160912238,0.06952350380436745
pe_basin_7_0001,15.731679341236186,7.483653444132453,1.3043004329824124,0.17000000000000004,2.076749913198244,0.6256222102830321,145.45254206131216,0.06917699807894608
pe_basin_7_0002,15.71778949419127,7.487543605355637,1.304452052068912,0.17000000000000004,2.0759227746055315,0.6258577425033887,144.52091133957572,0.0697601640002242
pe_basin_7_0003,15.904133505282877,7.721902249354902,1.3921767214948344,0.17000000000000015,2.0980367766260013,0.6383723129369417,179.3799810827773,0.06425377765706591
pe_basin_7_0004,15.716406118356653,7.487222693094943,1.3033997663909265,0.17000000000000004,2.0753795727235307,0.6255428029009128,143.18692876290507,0.07003992377909798
pe_basin_7_0005,15.907675041700312,7.705489590749866,1.3952014537085475,0.17000000000000012,2.0986032377978,0.6379575970265181,179.94876922548542,0.06296320517343021
pe_basin_7_0006,15.720713347466218,7.473793790536496,1.2961583875398173,0.17000000000000004,2.0748181276191775,0.6256596790462282,142.94475472397957,0.06953165434565622
pe_basin_7_0007,15.894699356865337,7.737218695462534,1.3876723616011506,0.17000000000000015,2.0985407277416046,0.6379500675127391,180.15767841039226,0.06416343900003517
pe_basin_7_0008,15.908299555294096,7.72227056831536,1.391666524287888,0.17000000000000012,2.098260942620842,0.6381474514937967,180.35132842572057,0.06426416634116583
pe_basin_7_0009,15.739654285557895,7.473052658517844,1.2858305678009931,0.17000000000000007,2.079930231587408,0.6248534266515787,147.40880239873914,0.06964325508917542
pe_basin_7_0010,15.735598740987358,7.485745529981628,1.2936328383373366,0.17000000000000007,2.0753878119771576,0.6259044464829339,143.74645544579698,0.06960270528953699
pe_basin_7_0011,15.741639871090234,7.476706565828897,1.2862627085429463,0.1700000000000001,2.078145908980645,0.6245522789985982,144.20766871806032,0.06921769396231345
pe_basin_7_0012,15.739537833021723,7.465915645866646,1.2861827945605537,0.1700000000000001,2.0785839264029042,0.6244656854954319,142.77519869021793,0.06899250479988223
pe_basin_7_0013,15.718425870329966,7.475336767813744,1.2980274915159327,0.17000000000000004,2.0732932225866483,0.6257789268217883,144.6156019610088,0.06968900119548228
pe_basin_7_0014,15.895252741413092,7.7496048912460065,1.3880572671498694,0.17000000000000015,2.0984954338871677,0.6379416113035615,180.05422491778478,0.06432647884274582
pe_basin_7_0015,15.89085528815114,7.737338990730408,1.3954428845807538,0.1700000000000001,2.101913857128061,0.6378460606290337,181.1637965770542,0.06437445252816847
pe_basin_7_0016,15.894310608834704,7.727260618113528,1.3928838278926186,0.17000000000000015,2.099884879862462,0.6377684734691286,180.32473606742545,0.06434020736068695
pe_basin_7_0017,15.739767921234442,7.465684441967964,1.2810578402062476,0.17000000000000004,2.0785929188738184,0.6253267660047236,145.94119302075484,0.06960993480269376
pe_basin_7_0018,15.920208981856506,7.735369557026093,1.399310582768042,0.17000000000000012,2.1000875146067117,0.6380741763970061,180.81324354923066,0.06345757901318232
pe_basin_7_0019,15.74128648794332,7.464356935594028,1.285674278700416,0.17000000000000007,2.078313064099686,0.6244947900042112,144.31271237540963,0.06904249220386377
