,alpha,beta,mu,gamma,a_d,b_d,a_w,b_w
pe_basin_1_0000,14.405201855380197,7.039710038061124,-0.22998782904625567,0.17000028297519376,0.10351944903632714,0.3493078109742612,286.55664259393586,0.5016612973902796
pe_basin_1_0001,14.41437857736957,6.941951940052621,-0.23,0.17000000000000004,0.047622668300486046,0.3355166136793738,284.5833305654955,0.5110364841901887
pe_basin_1_0002,14.343991424290799,7.039510398167826,-0.2299999857729312,0.17000000000000004,0.10526557725369244,0.3503293987246762,287.3539601249053,0.5018270661094432
pe_basin_1_0003,14.379802178245754,7.03818022424518,-0.22966002208007155,0.17000004838603222,0.10819102342926801,0.350191810165439,287.24767267681193,0.5037290850044197
pe_basin_1_0004,14.364426498804281,7.03565212685653,-0.23,0.17000010295025605,0.11028408025496815,0.3491001000209184,287.25773815163745,0.5018619030880691
pe_basin_1_0005,14.380294552254712,7.0399003623268825,-0.22992183162058374,0.1700000004172993,0.1045924952694971,0.34956621429673224,286.240726838894,0.5036156888263741
pe_basin_1_0006,14.376562573632906,7.037543666920888,-0.23,0.17000000000000004,0.1040861003560871,0.34878123856731286,285.3613355151529,0.5015936885424149
pe_basin_1_0007,14.384546244157072,7.040012348669161,-0.2299965042261084,0.17000885159669843,0.10875833318470357,0.3481466295036874,287.2542347757801,0.5016222449371643
pe_basin_1_0008,14.383988285869473,7.04056926432074,-0.23,0.17000000000000004,0.11000337029979404,0.3506261871763348,286.6394459054029,0.5017706642210285
pe_basin_1_0009,14.399422662412922,7.044020526032236,-0.22999936523304873,0.17000000000000004,0.10430178600875341,0.3485195703626086,286.3569075777791,0.5017114195138801
pe_basin_1_0010,14.363756519345818,7.035283288787866,-0.23,0.17000010147725153,0.11019694274170835,0.3490985159957898,287.3501055886348,0.5018570565650524
pe_basin_1_0011,14.407094464622013,7.040311029661658,-0.22998847963555397,0.17000000000000004,0.10719471183522235,0.34880133434419724,286.6301617146511,0.5016634972644998
pe_basin_1_0012,14.392165639557481,7.046034501943255,-0.22975209027702734,0.170000350451548,0.09661554641185778,0.349167852548725,287.2204180420551,0.5025385178571105
pe_basin_1_0013,14.367086000876917,7.0367846195011685,-0.22999252055735747,0.17000828745917174,0.11212474467560653,0.35027146475709103,286.74796011472677,0.5017256041350272
pe_basin_1_0014,14.125997559647335,7.0709729252963776,-0.23,0.17000000000000004,0.1653625332024149,0.33272921807327,298.61869277449034,0.5074509446180714
pe_basin_1_0015,14.381556529728929,7.041874831567935,-0.22995001176970029,0.17000842303464153,0.1019687223426883,0.3501418125800605,283.8574250914958,0.5016921179199888
pe_basin_1_0016,14.38475042546173,7.040025378776737,-0.22999639297614105,0.17000869323437617,0.10879465115416202,0.34808424447244835,287.47318183317003,0.5016152085061361
pe_basin_1_0017,14.376937186331142,7.040613982783767,-0.22999960731631433,0.17000000000000004,0.10246255465180343,0.34928721538304747,286.2444307196265,0.5015417245507788
pe_basin_1_0018,14.379376845045373,7.042710039097639,-0.2299998166723034,0.17000000000000004,0.10453918127839557,0.34929680538265856,286.24660793677464,0.5014210376249937
pe_basin_1_0019,14.361237475970976,7.042082079694703,-0.22999318161373888,0.1700087556856544,0.1102275445576892,0.35052818183231804,287.22009814366197,0.5017534220120992
